FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
OCC Charter # 0			County: JACKSON			Analysis of Concentrations of Credit--Page 7B						7/23/2025 12:03:14 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Loan & Leases as a % of Tier 1 Capital Plus ACL on LN&LS HFI	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Real Estate Loans	201.38	502.74	4	224.19	496.69	5	190.06	505.66	3	240.74	462.75	9	255.44	453.92	11	
    Construction & Development	50.56	53.44	51	56.91	57.18	51	49.63	54.52	48	58.68	47.19	65	67.73	48.02	71	
       1-4 Family Construction	9.34	12.04	47	16.67	12.51	67	10.20	12.10	50	17.77	14.46	65	37.72	15.77	84	
       Other Const & Land Development	41.23	39.03	56	40.24	42.54	48	39.43	40.26	50	40.91	28.67	67	30.00	29.58	55	
    Secured by Farmland	5.04	19.44	45	7.04	18.52	51	5.46	19.10	47	7.44	37.91	35	9.80	36.74	40	
    1-4 Family Residential	26.14	143.01	7	32.71	136.13	10	29.73	143.37	8	32.50	150.21	7	26.86	141.45	6	
       Home Equity Loans	3.07	14.14	21	2.70	12.49	22	2.93	13.89	21	2.02	11.00	24	2.25	10.61	27	
       1-4 Family 1st Lien Loans	22.43	121.11	8	29.35	116.57	11	26.12	121.85	9	29.83	131.72	9	24.18	124.38	8	
       1-4 Family Jr Lien Loans	0.64	3.49	22	0.65	3.03	24	0.68	3.44	23	0.66	3.76	21	0.42	3.02	19	
    Multifamily	16.67	38.98	25	30.72	36.54	52	17.59	38.16	26	36.04	20.87	75	25.40	19.89	65	
    Non-Farm Non-Residential	102.97	218.09	10	96.81	217.60	10	87.64	219.82	7	106.08	173.60	26	125.66	175.70	34	
       Owner Occupied Non-Farm Non-Residential	20.84	85.01	6	18.27	84.67	6	19.57	86.46	6	25.06	78.75	13	18.93	80.38	9	
       Other Non-Farm Non-Residential	82.12	129.40	23	78.54	129.00	22	68.07	129.31	16	81.02	91.23	49	106.72	92.00	61	
    RE Loans in Foreign Offices	N/A	0.14	N/A	N/A	0.11	N/A	N/A	0.16	N/A	N/A	7.39	N/A	N/A	5.50	N/A	

 Financial Institution Loans	0.00	0.01	93	0.00	0.00	94	0.00	0.00	93	0.00	0.29	96	0.00	0.33	96	
 Agricultural Loans	0.00	8.34	30	0.00	8.13	31	0.00	8.84	31	0.00	18.62	24	0.00	17.55	25	
 Commercial & Industrial Loans	28.98	80.87	14	41.82	82.28	25	33.34	80.62	18	49.19	67.86	38	45.21	68.44	34	
 Loans to Individuals	370.37	14.84	99	402.30	16.14	99	377.09	15.12	99	400.15	16.00	99	432.58	15.35	99	
    Credit Card Loans	162.53	0.19	99	184.41	0.21	99	177.35	0.19	99	207.29	0.10	99	270.38	0.10	99	
    Auto Loans	0.16	3.14	25	0.34	3.37	31	0.18	3.26	26	0.29	5.68	15	0.19	5.31	13	
 Municipal Loans	0.00	3.58	34	0.00	3.51	34	0.00	3.62	33	0.00	2.50	40	0.00	2.66	40	
 Non-Depository and Other	5.06	2.07	81	0.23	2.14	42	2.71	2.13	72	9.49	1.02	93	9.88	0.99	93	
 Loans to Foreign Governments	N/A	0.13	N/A	N/A	0.12	N/A	N/A	0.13	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
 Lease Financing Receivables	0.00	0.35	78	0.00	0.38	78	0.00	0.33	78	0.00	0.18	83	0.00	0.18	83	
    Leases to Individuals	N/A	0.36	N/A	N/A	0.31	N/A	N/A	0.35	N/A	N/A	0.37	N/A	N/A	0.49	N/A	
    All Other Leases	N/A	1.03	N/A	N/A	0.94	N/A	N/A	0.93	N/A	N/A	0.15	N/A	N/A	0.17	N/A	

 Supplemental:	
 Loans to Finance Commercial Real Estate	0.51	1.20	69	0.00	1.06	61	0.00	1.19	60	0.00	0.32	80	0.00	0.34	80	
 Foreign Office Loans & Leases	0.00	0.07	99	0.00	0.07	99	0.00	0.07	99	0.00	0.01	99	0.00	0.02	99	

 Commercial Real Estate Loans as a % of Tier 1 Capital Plus ACL on LN&LS HFI	
 Non-owner OCC Commercial Real Estate	149.86	235.20	16	166.18	235.07	24	135.29	235.86	14	175.74	170.19	53	199.85	170.99	61	
    Memo: NOO CRE 3-Year Growth Rate	50.59	44.85	63	34.56	60.96	28	29.31	48.61	31	40.82	53.54	44	46.94	53.28	51	
 Total Commercial Real Estate	170.71	325.05	10	184.45	324.60	13	154.86	327.36	7	200.80	253.59	36	218.79	256.01	41	

 Commercial Real Estate Loans as a % of Total LN&LS:	
 Construction & Development	8.35	8.51	53	8.52	9.12	47	8.23	8.69	49	8.39	7.97	56	9.12	8.21	60	
 Non-owner OCC Commercial Real Estate	24.76	37.00	15	24.88	36.99	16	22.45	36.81	12	25.14	28.71	41	26.90	29.16	44	
 Total Commercial Real Estate	28.20	51.16	8	27.61	51.16	8	25.69	51.15	7	28.73	42.92	23	29.45	43.85	22	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			PD, Nonacc & Rest Loans-a
OCC Charter # 0			County: JACKSON			Analysis of Past Due, Nonaccrual & Restructured--Page 8						7/23/2025 12:03:14 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 % of Non-Current LN&LS by Loan Type	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Real Estate LNS-90+ Days P/D	0.06	0.01	87	0.66	0.01	98	0.00	0.02	62	0.00	0.02	67	0.00	0.01	71	
    -Nonaccrual	1.32	0.47	86	1.73	0.35	94	1.53	0.43	91	1.67	0.29	94	0.12	0.28	48	
    -Total	1.38	0.51	85	2.39	0.38	96	1.53	0.47	90	1.67	0.35	93	0.12	0.32	43	
    -30-89 DAYS P/D	0.07	0.40	18	0.22	0.30	49	0.54	0.31	77	0.26	0.35	52	0.40	0.28	69	

 Const & Land Dev-90+ Days P/D	0.00	0.00	94	0.00	0.00	93	0.00	0.00	93	0.00	0.00	94	0.00	0.06	96	
    -Nonaccrual	5.23	0.37	94	6.04	0.18	96	5.59	0.34	95	6.07	0.05	98	0.00	0.02	84	
    -Total	5.23	0.39	94	6.04	0.22	96	5.59	0.36	94	6.07	0.08	98	0.00	0.04	81	
    -30-89 DAYS P/D	0.00	0.22	59	0.00	0.20	59	0.00	0.17	57	0.72	0.15	88	1.11	0.12	91	

 1-4 Fam Cons & L Dev-90+ Days P/D	0.00	0.04	97	0.00	0.07	96	0.00	0.05	96	0.00	0.07	97	0.00	0.06	98	
    -Nonaccrual	28.30	0.18	99	20.62	0.10	98	27.22	0.19	98	20.03	0.01	99	0.00	0.17	95	
    -Total	28.30	0.22	99	20.62	0.13	98	27.22	0.23	98	20.03	0.03	99	0.00	0.00	94	
    -30-89 DAYS P/D	0.00	0.16	79	0.00	0.22	78	0.00	0.16	79	2.39	0.11	93	0.92	0.09	90	

 Other Const & Land Dev-90+ Days P/D	0.00	0.02	97	0.00	0.03	95	0.00	0.01	95	0.00	0.07	96	0.00	0.04	97	
    -Nonaccrual	0.00	0.26	68	0.00	0.10	72	0.00	0.19	70	0.00	0.02	86	0.00	0.02	87	
    -Total	0.00	0.28	66	0.00	0.12	70	0.00	0.20	68	0.00	0.04	84	0.00	0.03	85	
    -30-89 DAYS P/D	0.00	0.17	66	0.00	0.11	68	0.00	0.11	64	0.00	0.07	79	1.36	0.05	95	

 Secured by Farmland-90+ Day P/D	0.00	0.00	93	0.00	0.00	94	0.00	0.05	96	0.00	0.05	95	0.00	0.05	95	
    -Nonaccrual	0.46	0.26	81	0.57	0.23	82	0.49	0.22	84	0.58	0.15	87	0.61	0.17	86	
    -Total	0.46	0.32	79	0.57	0.26	80	0.49	0.26	82	0.58	0.18	85	0.61	0.20	85	
    -30-89 DAYS P/D	0.00	0.20	64	0.00	0.15	68	0.00	0.14	66	0.00	0.12	73	0.00	0.07	77	

 1-4 Family Mtg-90+ Days P/D	0.00	0.02	72	0.00	0.02	68	0.00	0.02	68	0.00	0.03	74	0.00	0.02	76	
    -Nonaccrual	0.00	0.37	18	0.48	0.29	73	0.37	0.34	60	0.51	0.25	77	0.95	0.26	88	
    -Total	0.00	0.41	14	0.48	0.35	69	0.37	0.39	56	0.51	0.31	73	0.95	0.31	86	
    -30-89 DAYS P/D	0.51	0.52	57	0.00	0.42	15	2.72	0.52	98	0.00	0.52	23	0.03	0.44	26	

 Home Equity Loans -90+ Days P/D	0.00	0.00	89	0.00	0.01	89	0.00	0.01	88	0.00	0.00	93	0.00	0.04	95	
    -Nonaccrual	0.00	0.23	52	0.00	0.21	50	0.00	0.24	52	0.00	0.08	78	0.00	0.06	80	
    -Total	0.00	0.26	47	0.00	0.25	46	0.00	0.27	46	0.00	0.12	74	0.00	0.09	76	
    -30-89 DAYS P/D	0.00	0.28	41	0.00	0.27	45	0.00	0.30	41	0.00	0.22	66	0.00	0.16	69	

 1-4 Family 1st Lien Lns-90+ Days P/D	0.00	0.02	76	0.00	0.02	72	0.00	0.02	72	0.00	0.02	77	0.00	0.02	78	
    -Nonaccrual	0.00	0.36	22	0.54	0.28	76	0.42	0.32	65	0.56	0.24	79	1.05	0.25	90	
    -Total	0.00	0.40	18	0.54	0.33	72	0.42	0.37	62	0.56	0.30	75	1.05	0.30	88	
    -30-89 DAYS P/D	0.60	0.53	63	0.00	0.43	20	3.10	0.54	98	0.00	0.52	28	0.03	0.44	30	

 1-4 Family Jr Lien Lns-90+ Days P/D	0.00	0.00	94	0.00	0.03	95	0.00	0.00	93	0.00	0.10	97	0.00	0.09	97	
    -Nonaccrual	0.00	0.26	66	0.00	0.31	66	0.00	0.23	68	0.00	0.10	83	0.00	0.15	81	
    -Total	0.00	0.30	64	0.00	0.35	63	0.00	0.28	65	0.00	0.13	80	0.00	0.19	79	
    -30-89 DAYS P/D	0.00	0.30	65	0.00	0.19	68	0.00	0.28	61	0.00	0.16	80	0.00	0.16	80	

 Multifamily Loans-90+ Days P/D	0.00	0.01	99	0.00	0.00	98	0.00	0.01	98	0.00	0.01	99	0.00	0.03	99	
    -Nonaccrual	0.00	0.03	89	0.00	0.02	90	0.00	0.02	90	0.00	0.15	96	0.00	0.15	96	
    -Total	0.00	0.04	88	0.00	0.02	89	0.00	0.02	89	0.00	0.16	96	0.00	0.18	96	
    -30-89 DAYS P/D	0.00	0.03	85	0.00	0.02	88	0.00	0.03	87	0.00	0.35	95	0.00	0.11	96	

 Non-Farm Non-Res Mtg-90+ Days P/D	0.12	0.00	94	1.52	0.00	99	0.00	0.00	88	0.00	0.00	91	0.00	0.00	92	
    -Nonaccrual	0.00	0.41	33	0.25	0.27	63	0.00	0.35	33	0.24	0.27	70	0.00	0.23	56	
    -Total	0.12	0.44	46	1.77	0.29	94	0.00	0.39	31	0.24	0.31	66	0.00	0.26	53	
    -30-89 DAYS P/D	0.00	0.25	34	0.50	0.16	85	0.24	0.16	74	0.19	0.19	70	0.20	0.13	77	

 Own Occ Non-Farm Non-Res-90+ Days P/D	0.59	0.00	98	0.00	0.00	92	0.00	0.00	91	0.00	0.00	93	0.00	0.05	95	
    -Nonaccrual	0.00	0.36	45	0.00	0.29	43	0.00	0.32	44	0.00	0.25	65	0.00	0.23	66	
    -Total	0.59	0.40	72	0.00	0.31	41	0.00	0.35	42	0.00	0.30	62	0.00	0.26	63	
    -30-89 DAYS P/D	0.00	0.26	44	1.61	0.17	95	0.63	0.19	85	0.00	0.20	64	0.00	0.12	67	

 Other Non-Farm Non-Res-90+ Days P/D	0.00	0.02	95	1.88	0.02	99	0.00	0.03	95	0.00	0.04	96	0.00	0.04	96	
    -Nonaccrual	0.00	0.33	55	0.31	0.19	78	0.00	0.27	57	0.31	0.13	84	0.00	0.10	79	
    -Total	0.00	0.35	54	2.18	0.20	95	0.00	0.29	56	0.31	0.15	83	0.00	0.12	77	
    -30-89 DAYS P/D	0.00	0.16	58	0.24	0.10	81	0.13	0.09	77	0.25	0.08	86	0.24	0.06	87	

 RE Lns in Foreign Offices-90+ Days P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Nonaccrual	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Total	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -30-89 DAYS P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 Supplemental:	
 LNS Fin Coml RE-90+ Days P/D	0.00	0.00	99	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.09	N/A	
    -Nonaccrual	0.00	0.00	94	N/A	0.12	N/A	N/A	0.68	N/A	N/A	0.42	N/A	N/A	0.43	N/A	
    -Total	0.00	0.00	94	N/A	0.12	N/A	N/A	0.68	N/A	N/A	0.42	N/A	N/A	0.52	N/A	
    -30-89 DAYS P/D	0.00	0.13	97	N/A	0.14	N/A	N/A	0.01	N/A	N/A	0.18	N/A	N/A	0.04	N/A	


 Non-Current LN&LS ($000)																		
 90 Days and Over Past Due		10,225			12,099			11,012			9,778			6,795				
 Total Nonaccrual LN&LS		4,516			5,752			4,097			5,863			2,999				
    Total Non-Current LN&LS		14,741			17,851			15,109			15,641			9,794				
    LN&LS 30-89 Days Past Due		26,683			28,733			35,706			42,339			45,941				

 Gtyd LN&LS 90+ Days P/D		0			0			0			0			0				
 Gtyd LN&LS on Nonaccrual		0			0			0			0			0				
 Gtyd LN&LS 30-89 Days P/D		0			0			0			0			0				

 Modified LN&LS 90+ Days P/D		0			0			0			0			N/A				
 Modified LN&LS Nonaccrual		453			0			188			0			N/A				
 Modified LN&LS 30-89 Days P/D		0			0			0			0			N/A				

 Restructured LN&LS 90+ Days P/D		N/A			N/A			N/A			N/A			0				
 Restructured LN&LS Nonaccrual		N/A			N/A			N/A			N/A			36				
 Restructured LN&LS 30-89 Days P/D		N/A			N/A			N/A			N/A			0				

 Current 1-4 Family Modified LN&LS		N/A			N/A			0			0			N/A				
 Current Other Modified LN&LS		0			0			0			0			N/A				
    Current Total Modified LN&LS		0			0			0			0			N/A				

 Current 1-4 Family Restru LN&LS		N/A			N/A			N/A			N/A			0				
 Current Other Restructured LN&LS		N/A			N/A			N/A			N/A			16				
    Current Total Restructured LN&LS		N/A			N/A			N/A			N/A			16				
 Loans Secured 1-4 RE in Foreclosure		0			0			0			0			48				
 Other Real Estate Owned		0			800			0			800			2,294				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			PD, Nonacc & Rest Loans-b
OCC Charter # 0			County: JACKSON			Analysis of Past Due, Nonaccrual & Restructured--Page 8A						7/23/2025 12:03:15 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 % of Non-Current LN&LS by Loan Type	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Financial Institution LNS-90+ Days P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Nonaccrual	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Total	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -30-89 DAYS P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	1.37	N/A	

 Coml & Indust LNS-90+ Days P/D	0.00	0.02	75	2.16	0.01	99	1.89	0.02	99	0.46	0.01	95	0.00	0.01	84	
    -Nonaccrual	2.49	0.61	89	4.11	0.45	95	0.94	0.58	75	3.83	0.32	95	7.20	0.26	98	
    -Total	2.49	0.70	88	6.27	0.50	97	2.83	0.64	89	4.29	0.38	95	7.20	0.32	98	
    -30-89 DAYS P/D	0.00	0.36	22	0.00	0.34	24	0.32	0.31	63	0.00	0.32	36	2.66	0.26	96	

 Agricultural LNS-90+ Days P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.04	N/A	N/A	0.01	N/A	
    -Nonaccrual	N/A	0.08	N/A	N/A	0.07	N/A	N/A	0.08	N/A	N/A	0.03	N/A	N/A	0.03	N/A	
    -Total	N/A	0.11	N/A	N/A	0.08	N/A	N/A	0.09	N/A	N/A	0.04	N/A	N/A	0.04	N/A	
    -30-89 DAYS P/D	N/A	0.15	N/A	N/A	0.09	N/A	N/A	0.07	N/A	N/A	0.03	N/A	N/A	0.02	N/A	

 Loans to Individuals-90+ Days P/D	2.04	0.03	98	2.35	0.03	98	2.14	0.04	98	2.41	0.02	99	1.89	0.02	99	
    -Nonaccrual	0.00	0.14	51	0.01	0.12	56	0.00	0.14	53	0.01	0.11	58	0.01	0.09	62	
    -Total	2.04	0.22	96	2.35	0.20	96	2.14	0.23	96	2.42	0.17	98	1.90	0.14	97	
    -30-89 DAYS P/D	5.37	0.56	97	6.85	0.54	99	7.17	0.62	98	10.54	0.60	99	12.29	0.53	99	

 Credit Card Plans-90+ Days P/D	4.56	0.38	96	5.10	0.23	97	4.53	0.34	97	4.65	0.14	99	3.02	0.15	96	
    -Nonaccrual	0.00	0.01	91	0.00	0.00	92	0.00	0.00	92	0.00	0.00	94	0.00	0.06	96	
    -Total	4.56	0.52	95	5.10	0.30	97	4.53	0.41	97	4.65	0.20	99	3.02	0.20	96	
    -30-89 DAYS P/D	6.93	1.18	97	8.65	1.41	97	8.25	1.51	95	10.78	0.78	98	11.93	0.75	99	

 Auto Loans	0.00	0.01	86	0.00	0.00	88	0.00	0.01	85	0.00	0.01	88	0.00	0.00	88	
    -Nonaccrual	0.00	0.13	64	0.00	0.10	68	0.00	0.13	65	0.00	0.10	70	0.00	0.07	74	
    -Total	0.00	0.15	56	0.00	0.12	63	0.00	0.17	59	0.00	0.14	65	0.00	0.10	69	
    -30-89 DAYS P/D	0.00	0.47	42	0.00	0.41	45	0.00	0.52	43	1.72	0.57	83	0.00	0.52	47	

 Non-depository, Other and Muni-90+ Days P/D	0.00	0.00	93	0.00	0.00	94	0.00	0.00	94	0.00	1.63	95	0.00	0.41	95	
    -Nonaccrual	0.00	0.07	88	0.00	0.04	89	0.00	0.05	88	0.00	0.02	91	0.00	0.02	91	
    -Total	0.00	0.11	84	0.00	0.07	85	0.00	0.08	85	0.00	0.07	88	0.00	0.06	88	
    -30-89 DAYS P/D	0.01	0.19	73	0.00	0.25	69	0.00	0.21	68	0.00	0.54	74	0.00	0.32	76	

 Lease Financing-90+ Days P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.03	N/A	N/A	0.07	N/A	
    -Nonaccrual	N/A	0.17	N/A	N/A	0.08	N/A	N/A	0.16	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Total	N/A	0.21	N/A	N/A	0.12	N/A	N/A	0.21	N/A	N/A	0.00	N/A	N/A	0.01	N/A	
    -30-89 DAYS P/D	N/A	0.12	N/A	N/A	0.20	N/A	N/A	0.21	N/A	N/A	0.03	N/A	N/A	0.01	N/A	

 Leases to Individuals-90+ Days P/D	N/A	0.00	N/A	N/A	0.03	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Nonaccrual	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -Total	N/A	0.00	N/A	N/A	0.03	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	
    -30-89 DAYS P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.01	N/A	N/A	0.00	N/A	N/A	0.00	N/A	

 All Other Leases-90+ Days P/D	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.00	N/A	N/A	0.13	N/A	N/A	0.00	N/A	
    -Nonaccrual	N/A	0.11	N/A	N/A	0.08	N/A	N/A	0.11	N/A	N/A	0.18	N/A	N/A	0.00	N/A	
    -Total	N/A	0.11	N/A	N/A	0.09	N/A	N/A	0.13	N/A	N/A	0.00	N/A	N/A	0.02	N/A	
    -30-89 DAYS P/D	N/A	0.19	N/A	N/A	0.24	N/A	N/A	0.38	N/A	N/A	0.05	N/A	N/A	0.00	N/A	

 Total LN&LS-90+ Days Past Due	1.27	0.03	99	1.77	0.02	99	1.44	0.03	98	1.41	0.03	99	1.10	0.02	98	
    -Nonaccrual	0.56	0.50	62	0.84	0.41	82	0.54	0.47	63	0.85	0.32	84	0.49	0.29	74	
    -Total	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
    -30-89 DAYS P/D	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	

 Other Pertinent Ratios:	
